Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family 
Namal Rajapaksa,Male,12 August 2020 - Present,Sri Lanka Podujana Peramuna,Minister of Sports,"b""Rajapaksa was born on 10 April 1986. He is the son of Mahinda Rajapaksa and Shiranthi (nee Wickremesinghe). He has two younger brothers  Yoshitha and Rohitha. His paternal grandfather Don Alwin Rajapaksa was a member of parliament and Minister of Agriculture and Land in Wijeyananda Dahanayake's government.""",b'',"b""Rajapaksa contested the 2010 parliamentary election as one of the United People's Freedom Alliance's candidates in Hambantota District and was elected to Parliament. Rajapaksa's father was an MP for Hambantota District for 16 years before becoming president in 2005. It is widely believed that Rajapaksa is being groomed to succeed his father. Rajapaksa is often seen at state events and is the chief guests at ceremonies inaugurating new roads, bridges, schools and other government buildings. Although Rajapaksa holds no government position, he has made numerous official foreign trips, sometimes accompanying his father. In January 2011 Rajapaksa led a parliamentary delegation to Libya and met with Muammar Gaddafi. Rajapaksa has also made official trips to United Nations Headquarters (September 2010), Nepal (March 2011), Palestine (February 2012), Japan (March 2012), South Korea (April 2012), US (May 2012), China (May 2013) and Australia (June 2013). Rajapaksa also led Hambantota's unsuccessful bid to host the 2018 Commonwealth Games. Rajapaksa was a key figure of his father's unsuccessful 2015 presidential campaign. He was accused by many for his father's downfall and the misuse of public funds.""",b'Namal married Limini Weerasinghe on 12 September 2019 at Gangaramaya Temple.'
Mohamed Macan Markar,Male,1931 - 1936,,Minister of Transport,b'',b'',b'',b''
John Kotelawala,Male,1936 - 1945,,Minister of Transport,"b'Kotelawala was born on 4 April 1897 to John Kotelawala Snr, a police inspector, who later turned businessman and Alice Elisabeth Kotalawala (nee Attygalle), daughter of Mudaliyar Don Charles Gemoris Attygalle, a wealthy land and mine owner. He had a younger brother Justin Kotalawela and a sister Freda, who later married C. V. S. Corea.'",b'',"b""As early as 1915 Kotelawala had become involved with political leaders such as Don Stephen Senanayake and his brother F.R. Senanayake, who was married to Kotelawala's mother's sister. They criticized many of the actions of the British colonial officials following the riots in 1915.""","b'He married Effie Manthri Dias Bandaranaike daughter of F. H. Dias Bandaranaike and Maria Frances Dias Bandaranaike nee Senanayake. Effie Bandaranaike was the niece of Don Stephen Senanayake. Although the marriage was not successful, ending in divorce, it produced a daughter Lakshmi Kotelawala who married Henry Gerald Kotalawala.'"
United National Party,Male, - D. S. Senanayake,,Minister of Transport,b'',b'',b'',b''
Montague Jayawickrama,Male, - ,,Minister of Transport,"b'Born in Weligama, in Southern Ceylon to Walter Jayewickreme, a proctor and Lidia Margret, he had one sister Dorothina and one brother Errol. Educated at Richmond College, Galle, Jayewickreme studied at the Agriculture School in Peradeniya before becoming a planter.'",b'',"b'Jayewickreme entered politics when he was unanimously elected as President of Weligama Town Council on 4 January 1936. Undertaking the development and expansion of the Weligama town, Jayewickreme contested the 1947 General Election from the Weligama electorate. Weligama remained his constituency till 1987, having been re-elected in 1952, 1960, 1965 and again in 1977. His long standing opponent was Panini Ilangakoon who defeated Jayewickreme in 1956 and 1970, but was intern defeated by   Jayewickreme in 1960 and 1977.'","b'Montague Jayewickreme married Amara Amarasuriya, they had two daughters, Devika and Kisani.'"
Maithripala Senanayake,Male,12 April 1956 - ,Sri Lanka Freedom Party,Minister of Transport,b'',b'',b'',b''
Robert Edward Jayatilaka,Male,9 December 1959 - 20 March 1960,Independent,Minister of Transport,b'',"b'Robert Edward, also known as ""Eric"", Jayatilaka, attended Richmond College, Galle and once qualified as a teacher, he taught for a number of years at S. Thomas\' College, Mt. Lavinia. After which Jayatilaka was appointed as the principal of Anuruddha College, Kandy.'","b'He became a member of the Ceylon Labour Party, following which he was elected Chairman of the Nawalapitiya Urban Council.'","b'His wife, Effie nee Samarakkody, (the younger sister of Lanka Sama Samaja Party leader, Edmund Samarakkody, and the former wife of Panini Ilangakoon), was elected as the Chairman of the Nawalapitiya Urban Council, the first female in the country to head an Urban Council. Anarkali Akarsha is his granddaughter.'"
Montague Jayawickrama,Male,23 March 1960 - 1960,United National Party,Minister of Transport,"b'Born in Weligama, in Southern Ceylon to Walter Jayewickreme, a proctor and Lidia Margret, he had one sister Dorothina and one brother Errol. Educated at Richmond College, Galle, Jayewickreme studied at the Agriculture School in Peradeniya before becoming a planter.'",b'',"b'Jayewickreme entered politics when he was unanimously elected as President of Weligama Town Council on 4 January 1936. Undertaking the development and expansion of the Weligama town, Jayewickreme contested the 1947 General Election from the Weligama electorate. Weligama remained his constituency till 1987, having been re-elected in 1952, 1960, 1965 and again in 1977. His long standing opponent was Panini Ilangakoon who defeated Jayewickreme in 1956 and 1970, but was intern defeated by   Jayewickreme in 1960 and 1977.'","b'Montague Jayewickreme married Amara Amarasuriya, they had two daughters, Devika and Kisani.'"
P. B. G. Kalugalla,Male,23 July 1960 - ,Sri Lanka Freedom Party,Minister of Transport,b'',b'',b'',b''
Anil Moonesinghe,Male,11 June 1964 - March 1965,Lanka Sama Samaja Party,Minister of Transport,b'',b'',b'',"b""For a time he worked as an overhead crane operator at Southern Forge Ltd, Langley, Slough. He married Jeanne Hoban in 1948 and they moved into a houseboat called 'Red October', which they built together, on the Thames near Marlow. They both entered the Labour Party in Slough, on the heels of a group of the RCP, led by Jock Haston. Anil was a speaker for the National Council of Labour Colleges; while Jeanne was elected to the Executive of the Labour Leagues of Youth, later being put on the list of Labour Parliamentary candidates. They were both associated with the MP for Slough Fenner Brockway and with George Padmore, the prophet of Black African Liberation."""
E. L. B. Hurulle,Male,March 1965 - ,United National Party,Minister of Transport,"b'Born Illangasinghe Kalukumara Rajakaruna Edwin Loku Bandara Hurulle to Tikiri Bandara Hurulle and Alice Bulankulame Hurulle, daughter of Loku Bandara Bulankulame Dissava , who was the Atamasthana Nilame (chief lay custodian of Atamasthana) in Anuradhapura. He was the eldest in the family. His family had established themselves as local headmen in the Anuradhapura District. His great-grandfather Punchi Bandara Hurulle built a walauwa by the Morakewa Reservoir in Horowpotana. His grandfather Henarath Bandara Hurulle, who was the Rate Mahatmaya of Hurulupalatha built his two-storeyed walauwa in 1900 A.D. between the Morakewa Weva and the Anuradhapura - Trincomalee Main Road. Henarath Banda Hurulle had married Maningamuwe Weragama Kumarihamy. This was the building set ablaze by the JVP during the insurgency in 1988.'","b""He completed his primary and secondary education at St Patrick's College, Jaffna and Trinity College, Kandy where he passed the London Inter - Arts Examination.""","b""Following the death of T. B. Poholiyadde Dissawa, prior to handing over nominations for the 1956 general election, Hurulle's name was presented for the Horowpotana electorate from the United National Party (UNP) and he resigned from government service. In the election that followed the UNP was reduced to eight parliamentary seats with the Mahajana Eksath Peramuna gaining a landslide victory. His maternal uncle P.B. Bulankulame Dissava who had served in the Cabinet could not retain his seat in parliament at this election.""","b'He married Malinee Galagoda, the youngest daughter of Madduma Bandara Galagoda of Galagoda Walauwa, Teldeniya, a Basnayake Nilame (Chief custodian) of the Naatha-Devalay, Kandy and a former Officer of the Department of Forests. E.L.B. Hurulle and his wife Malinee had two daughters Maya and Deepthi and three sons Themiya (ex-Project Minister of Science & Technology, ex-Member, North Central Provincial Council and  former Director-General, Telecommunications Regulatory Commission of Sri Lanka), Vajira and Kanishka.'"
Leslie Goonewardena,Male,31 May 1970 - 2 September 1975,Lanka Sama Samaja Party,Minister of Transport,"b""Goonewardene was born on 31 October 1909 in Panadura, south-western Ceylon, to the wealthy Goonewardene family, which was active in local colonial-era politics. He was the son of Andrew Simon Goonewardene, a reputed doctor who served as President of the Panadura Maha Jana Sabha and chairman of the Urban Council. The Goonewardene family were major proprietors of coconut property. Goonewardene's mother died when he was a toddler. She was from the well-known Fernando family of 'Whitehall' Katana, one of the wealthiest families in Ceylon, privately owning very significant amounts of land. Leslie inherited all the wealth from his mother and, as his eldest son, a major share from his father. This wealth allowed Leslie to serve as a major party (LSSP) financier in his later life. His grand-aunt Selestina Rodrigo and another relative Jeramias Dias were the chief sponsors of the Panadura Ronkoth Viharaya and the reputed Panadura Vivadaya debate. Their ancestor Thome Rodrigo was a prince who was a signatory to the Malvana Convention in 1597. As traditional chiefs of the area their ancestors had played a role in defeating Arya Chakrawarti's fleet at Panadura.""","b""As a young child, Goonewardene was educated at St. John's College, Panadura and S. Thomas' College, Mount Lavinia; S. Thomas' is considered to be the most prestigious school in Ceylon, with notable alumni including four former prime ministers of Sri Lanka. Goonewardene's father, Andrew Simon Goonewardene, later sent him to a public (in the British sense of the term) boarding school, Rydal School, in north Wales with the aim of making him a Methodist priest. Instead, Goonewardene became influenced by the widespread Marxist teachings of the time, notably conflicting with his own privilege. This was a major factor leading him to pursue a BSc degree in economics from the London School of Economics, where he was shaped by the teachings of his professor, Harold Laski. He was admitted to the bar at Gray's Inn, one of the four Inns of Court in London, in 1933 but never practised law.""","b""Goonewardene returned to Ceylon from Britain in 1933 and helped found the Lanka Sama Samaja Party (LSSP) on 18 December 1935. It was created with the broad aims of independence from British rule and socialism by a group of young people who had gathered together for that purpose. The group at the commencement numbered six, composed principally of students who had, like Goonewardene, returned from abroad, influenced deeply by the ideas of Karl Marx and Lenin. Goonewardene founded the LSSP alongside N.M. Perera and Colvin R. de Silva, as well as Philip Gunawardena and Robert Gunawardena. Goonewardene was the LSSP's first General-Secretary and served in that role from 1935 to 1977. The party, with the aid of the South Colombo Youth League, initiated various strikes with the aim to disrupt. One such took place at the Wellawatte Spinning and Weaving Mills. Goonewardene also published a Sinhala-language journal, Kamkaruwa (The Worker), allowing the party to become involved in the 1933 Suriya-Mal Movement, whose aim was to generate financial support for indigenous (Ceylonese) veterans through the sale of native Suriya flowers. The Suriya-Mal Movement gained international coverage, propelled by the fact that Poppy Day-raised funds went solely to British ex-servicemen, despite the funds being raised abroad. The Suriya-Mal Movement also helped contribute to the poor and needy during the 19341935 Ceylonese malaria epidemic, which took a toll on poorer communities.""",b''
